ecmf prod rt 2018011500 51 046
0024 em 00 1.476 -1.399 2.033 4
0024 cf 00 1.408 -1.390 1.979 4
0024 pf 01 1.270 -1.448 1.926 3
0024 pf 02 1.511 -1.292 1.988 4
0024 pf 03 1.441 -1.454 2.047 3
0024 pf 04 1.377 -1.409 1.970 3
0024 pf 05 1.454 -1.469 2.067 3
0024 pf 06 1.505 -1.385 2.045 4
0024 pf 07 1.510 -1.373 2.041 4
0024 pf 08 1.477 -1.271 1.949 4
0024 pf 09 1.534 -1.268 1.990 4
0024 pf 10 1.503 -1.313 1.996 4
0024 pf 11 1.487 -1.429 2.063 4
0024 pf 12 1.413 -1.289 1.913 4
0024 pf 13 1.296 -1.402 1.909 3
0024 pf 14 1.448 -1.334 1.969 4
0024 pf 15 1.562 -1.476 2.149 4
0024 pf 16 1.475 -1.286 1.957 4
0024 pf 17 1.470 -1.434 2.054 4
0024 pf 18 1.486 -1.333 1.996 4
0024 pf 19 1.558 -1.238 1.990 4
0024 pf 20 1.527 -1.487 2.131 4
0024 pf 21 1.465 -1.300 1.959 4
0024 pf 22 1.545 -1.431 2.106 4
0024 pf 23 1.326 -1.430 1.950 3
0024 pf 24 1.435 -1.517 2.088 3
0024 pf 25 1.361 -1.468 2.002 3
0024 pf 26 1.439 -1.327 1.957 4
0024 pf 27 1.660 -1.218 2.059 4
0024 pf 28 1.294 -1.591 2.051 3
0024 pf 29 1.377 -1.565 2.084 3
0024 pf 30 1.515 -1.345 2.026 4
0024 pf 31 1.472 -1.379 2.017 4
0024 pf 32 1.505 -1.397 2.053 4
0024 pf 33 1.395 -1.385 1.966 4
0024 pf 34 1.637 -1.354 2.125 4
0024 pf 35 1.472 -1.559 2.144 3
0024 pf 36 1.472 -1.500 2.102 3
0024 pf 37 1.455 -1.448 2.053 4
0024 pf 38 1.430 -1.348 1.965 4
0024 pf 39 1.394 -1.367 1.952 4
0024 pf 40 1.439 -1.436 2.033 4
0024 pf 41 1.476 -1.332 1.988 4
0024 pf 42 1.430 -1.454 2.039 3
0024 pf 43 1.590 -1.397 2.116 4
0024 pf 44 1.546 -1.405 2.089 4
0024 pf 45 1.352 -1.489 2.011 3
0024 pf 46 1.401 -1.308 1.917 4
0024 pf 47 1.477 -1.325 1.984 4
0024 pf 48 1.438 -1.426 2.025 4
0024 pf 49 1.549 -1.435 2.111 4
0024 pf 50 1.535 -1.424 2.094 4
0048 em 00 1.869 -1.203 2.222 4
0048 cf 00 1.827 -1.207 2.189 4
0048 pf 01 1.480 -1.329 1.990 4
0048 pf 02 1.714 -1.358 2.187 4
0048 pf 03 2.053 -1.024 2.294 4
0048 pf 04 1.902 -1.253 2.278 4
0048 pf 05 1.914 -1.224 2.272 4
0048 pf 06 1.824 -1.177 2.171 4
0048 pf 07 1.906 -1.168 2.235 4
0048 pf 08 1.831 -1.231 2.206 4
0048 pf 09 1.796 -1.072 2.092 4
0048 pf 10 1.992 -1.026 2.241 4
0048 pf 11 1.929 -1.269 2.309 4
0048 pf 12 1.676 -1.315 2.131 4
0048 pf 13 1.699 -1.108 2.029 4
0048 pf 14 1.774 -1.114 2.094 4
0048 pf 15 1.993 -1.363 2.415 4
0048 pf 16 1.831 -1.108 2.140 4
0048 pf 17 1.908 -1.268 2.291 4
0048 pf 18 1.847 -1.030 2.115 4
0048 pf 19 1.988 -1.048 2.248 4
0048 pf 20 1.982 -1.438 2.449 4
0048 pf 21 1.867 -0.974 2.106 4
0048 pf 22 1.885 -1.088 2.176 4
0048 pf 23 1.736 -1.264 2.147 4
0048 pf 24 1.844 -1.194 2.197 4
0048 pf 25 1.754 -1.209 2.130 4
0048 pf 26 1.741 -1.072 2.045 4
0048 pf 27 1.823 -1.079 2.118 4
0048 pf 28 1.755 -1.339 2.207 4
0048 pf 29 1.840 -1.431 2.331 4
0048 pf 30 1.882 -1.176 2.220 4
0048 pf 31 1.829 -1.083 2.126 4
0048 pf 32 1.938 -1.233 2.297 4
0048 pf 33 1.953 -1.263 2.326 4
0048 pf 34 1.944 -1.015 2.193 4
0048 pf 35 1.960 -1.345 2.378 4
0048 pf 36 1.857 -1.157 2.188 4
0048 pf 37 1.912 -1.360 2.347 4
0048 pf 38 1.802 -1.114 2.118 4
0048 pf 39 1.889 -1.129 2.201 4
0048 pf 40 1.714 -1.548 2.310 4
0048 pf 41 1.875 -1.133 2.191 4
0048 pf 42 1.819 -1.438 2.319 4
0048 pf 43 2.114 -0.982 2.331 4
