ecmf prod rt 2016020400 51 046
0024 em 00 0.758 -0.394 0.855 4
0024 cf 00 0.711 -0.364 0.799 4
0024 pf 01 0.762 -0.410 0.866 4
0024 pf 02 0.826 -0.390 0.914 4
0024 pf 03 0.727 -0.346 0.805 4
0024 pf 04 0.716 -0.293 0.773 4
0024 pf 05 0.742 -0.437 0.862 4
0024 pf 06 0.917 -0.463 1.027 4
0024 pf 07 0.699 -0.508 0.864 4
0024 pf 08 0.714 -0.309 0.778 4
0024 pf 09 0.612 -0.422 0.743 4
0024 pf 10 0.753 -0.547 0.931 4
0024 pf 11 0.776 -0.218 0.806 4
0024 pf 12 0.874 -0.396 0.959 4
0024 pf 13 0.845 -0.298 0.896 4
0024 pf 14 0.828 -0.432 0.934 4
0024 pf 15 0.795 -0.344 0.866 4
0024 pf 16 0.729 -0.296 0.787 4
0024 pf 17 0.831 -0.355 0.903 4
0024 pf 18 0.768 -0.375 0.854 4
0024 pf 19 0.749 -0.409 0.853 4
0024 pf 20 0.512 -0.240 0.565 4
0024 pf 21 0.804 -0.215 0.832 4
0024 pf 22 0.820 -0.291 0.870 4
0024 pf 23 0.582 -0.379 0.695 4
0024 pf 24 0.893 -0.421 0.987 4
0024 pf 25 0.694 -0.353 0.779 4
0024 pf 26 0.676 -0.284 0.734 4
0024 pf 27 0.590 -0.506 0.778 4
0024 pf 28 0.754 -0.308 0.815 4
0024 pf 29 0.636 -0.558 0.846 4
0024 pf 30 1.011 -0.528 1.140 4
0024 pf 31 0.789 -0.206 0.815 4
0024 pf 32 0.783 -0.465 0.911 4
0024 pf 33 0.800 -0.431 0.909 4
0024 pf 34 0.686 -0.439 0.814 4
0024 pf 35 0.837 -0.329 0.899 4
0024 pf 36 0.510 -0.370 0.630 4
0024 pf 37 0.791 -0.473 0.922 4
0024 pf 38 0.727 -0.308 0.789 4
0024 pf 39 0.756 -0.574 0.950 4
0024 pf 40 0.728 -0.348 0.807 4
0024 pf 41 0.710 -0.405 0.817 4
0024 pf 42 0.713 -0.320 0.781 4
0024 pf 43 0.827 -0.297 0.879 4
0024 pf 44 0.683 -0.560 0.883 4
0024 pf 45 0.734 -0.296 0.792 4
0024 pf 46 0.593 -0.294 0.662 4
0024 pf 47 0.619 -0.366 0.719 4
0024 pf 48 0.817 -0.418 0.918 4
0024 pf 49 0.865 -0.348 0.933 4
0024 pf 50 0.679 -0.459 0.820 4
0048 em 00 1.060 -0.427 1.142 4
0048 cf 00 1.097 -0.509 1.209 4
0048 pf 01 0.964 -0.484 1.079 4
0048 pf 02 1.140 -0.400 1.208 4
0048 pf 03 1.180 -0.338 1.227 4
0048 pf 04 1.086 -0.417 1.164 4
0048 pf 05 1.062 -0.494 1.171 4
0048 pf 06 1.171 -0.381 1.232 4
0048 pf 07 1.050 -0.574 1.197 4
0048 pf 08 1.050 -0.381 1.117 4
0048 pf 09 1.183 -0.409 1.252 4
0048 pf 10 1.114 -0.623 1.276 4
0048 pf 11 1.004 -0.277 1.041 4
0048 pf 12 1.242 -0.234 1.263 4
0048 pf 13 1.105 -0.448 1.192 4
0048 pf 14 1.169 -0.632 1.329 4
0048 pf 15 1.015 -0.370 1.080 4
0048 pf 16 0.975 -0.419 1.061 4
0048 pf 17 0.959 -0.283 1.000 4
0048 pf 18 1.202 -0.343 1.250 4
0048 pf 19 0.866 -0.498 0.999 4
0048 pf 20 0.894 -0.323 0.950 4
0048 pf 21 1.109 -0.413 1.184 4
0048 pf 22 1.191 -0.275 1.222 4
0048 pf 23 0.808 -0.516 0.959 4
0048 pf 24 0.985 -0.537 1.122 4
0048 pf 25 0.924 -0.390 1.003 4
0048 pf 26 0.929 -0.144 0.940 4
0048 pf 27 0.962 -0.460 1.067 4
0048 pf 28 0.891 -0.255 0.927 4
0048 pf 29 0.959 -0.648 1.157 4
0048 pf 30 1.319 -0.351 1.365 4
0048 pf 31 0.951 -0.357 1.016 4
0048 pf 32 0.988 -0.341 1.046 4
0048 pf 33 1.117 -0.486 1.218 4
0048 pf 34 0.967 -0.312 1.017 4
0048 pf 35 1.150 -0.246 1.176 4
0048 pf 36 0.776 -0.389 0.868 4
0048 pf 37 1.081 -0.336 1.132 4
0048 pf 38 1.060 -0.346 1.115 4
0048 pf 39 1.000 -0.592 1.162 4
0048 pf 40 1.132 -0.539 1.254 4
0048 pf 41 1.082 -0.595 1.234 4
0048 pf 42 1.120 -0.380 1.183 4
0048 pf 43 1.126 -0.278 1.160 4
0048 pf 44 1.099 -0.505 1.210 4
0048 pf 45 0.831 -0.434 0.937 4
0048 pf 46 0.894 -0.406 0.982 4
0048 pf 47 0.939 -0.418 1.028 4
0048 pf 48 1.229 -0.340 1.275 4
0048 pf 49 1.048 -0.409 1.125 4
0048 pf 50 1.102 -0.470 1.198 4
0072 em 00 0.925 -0.503 1.052 4
