ecmf prod rt 2015030500 51 032
0024 em 00 1.263 0.087 1.266 5
0024 cf 00 1.231 0.077 1.234 5
0024 pf 01 1.385 0.171 1.395 5
0024 pf 02 1.148 -0.049 1.149 4
0024 pf 03 1.331 -0.009 1.331 4
0024 pf 04 1.255 -0.061 1.257 4
0024 pf 05 1.277 -0.030 1.278 4
0024 pf 06 1.257 0.028 1.257 5
0024 pf 07 1.216 -0.022 1.217 4
0024 pf 08 1.183 0.025 1.183 5
0024 pf 09 1.275 0.038 1.275 5
0024 pf 10 1.208 0.165 1.219 5
0024 pf 11 1.364 0.065 1.365 5
0024 pf 12 1.291 0.152 1.300 5
0024 pf 13 1.452 -0.051 1.453 4
0024 pf 14 1.199 0.159 1.209 5
0024 pf 15 1.157 0.054 1.158 5
0024 pf 16 1.304 0.107 1.308 5
0024 pf 17 1.256 0.185 1.270 5
0024 pf 18 1.271 0.145 1.279 5
0024 pf 19 1.180 0.123 1.187 5
0024 pf 20 1.170 0.052 1.171 5
0024 pf 21 1.189 0.183 1.203 5
0024 pf 22 1.137 0.126 1.144 5
0024 pf 23 1.224 -0.015 1.224 4
0024 pf 24 1.261 0.129 1.268 5
0024 pf 25 1.269 0.252 1.294 5
0024 pf 26 1.250 -0.047 1.251 4
0024 pf 27 1.269 0.022 1.269 5
0024 pf 28 1.319 0.094 1.322 5
0024 pf 29 1.351 -0.002 1.351 4
0024 pf 30 1.200 0.151 1.210 5
0024 pf 31 1.344 0.084 1.347 5
0024 pf 32 1.239 0.008 1.239 5
0024 pf 33 1.231 -0.083 1.234 4
0024 pf 34 1.249 0.182 1.262 5
0024 pf 35 1.291 0.007 1.291 5
0024 pf 36 1.417 0.174 1.428 5
0024 pf 37 1.192 0.058 1.193 5
0024 pf 38 1.234 0.092 1.237 5
0024 pf 39 1.342 0.193 1.355 5
0024 pf 40 1.154 0.206 1.172 5
0024 pf 41 1.217 0.199 1.233 5
0024 pf 42 1.406 0.063 1.407 5
0024 pf 43 1.214 0.003 1.214 5
0024 pf 44 1.203 0.137 1.211 5
0024 pf 45 1.338 0.135 1.345 5
0024 pf 46 1.194 0.202 1.211 5
0024 pf 47 1.226 0.067 1.228 5
0024 pf 48 1.187 0.196 1.203 5
0024 pf 49 1.271 0.138 1.278 5
0024 pf 50 1.222 0.030 1.222 5
0048 em 00 1.261 0.478 1.349 5
0048 cf 00 1.260 0.428 1.331 5
0048 pf 01 1.378 0.280 1.406 5
0048 pf 02 1.351 0.432 1.419 5
0048 pf 03 1.304 0.434 1.375 5
0048 pf 04 1.238 0.468 1.324 5
0048 pf 05 1.282 0.445 1.357 5
0048 pf 06 1.286 0.291 1.318 5
0048 pf 07 1.122 0.355 1.177 5
0048 pf 08 1.176 0.438 1.255 5
0048 pf 09 1.327 0.501 1.418 5
0048 pf 10 1.241 0.614 1.385 5
0048 pf 11 1.377 0.483 1.459 5
0048 pf 12 1.095 0.598 1.248 5
0048 pf 13 1.379 0.622 1.513 5
0048 pf 14 1.243 0.451 1.322 5
0048 pf 15 1.173 0.346 1.223 5
0048 pf 16 1.441 0.454 1.511 5
0048 pf 17 1.137 0.509 1.245 5
0048 pf 18 1.209 0.526 1.319 5
0048 pf 19 1.337 0.481 1.421 5
0048 pf 20 0.952 0.384 1.027 5
0048 pf 21 1.047 0.619 1.216 5
0048 pf 22 1.268 0.378 1.323 5
0048 pf 23 1.333 0.442 1.404 5
0048 pf 24 1.340 0.405 1.400 5
0048 pf 25 1.294 0.544 1.404 5
0048 pf 26 1.265 0.456 1.345 5
0048 pf 27 1.317 0.371 1.368 5
0048 pf 28 1.132 0.407 1.203 5
0048 pf 29 1.371 0.611 1.501 5
0048 pf 30 1.106 0.409 1.180 5
0048 pf 31 1.417 0.537 1.516 5
0048 pf 32 1.377 0.218 1.394 5
0048 pf 33 1.232 0.400 1.296 5
0048 pf 34 1.144 0.561 1.274 5
0048 pf 35 1.484 0.481 1.560 5
0048 pf 36 1.343 0.739 1.533 5
0048 pf 37 1.239 0.333 1.283 5
0048 pf 38 1.302 0.568 1.420 5
0048 pf 39 1.398 0.712 1.569 5
0048 pf 40 1.079 0.329 1.128 5
0048 pf 41 1.344 0.588 1.467 5
0048 pf 42 1.254 0.490 1.346 5
0048 pf 43 1.016 0.347 1.074 5
0048 pf 44 1.225 0.526 1.333 5
0048 pf 45 1.181 0.530 1.295 5
0048 pf 46 1.205 0.529 1.316 5
0048 pf 47 1.296 0.603 1.430 5
0048 pf 48 1.089 0.438 1.173 5
0048 pf 49 1.461 0.408 1.517 5
0048 pf 50 1.129 0.661 1.308 5
0072 em 00 1.145 0.958 1.494 5
0072 cf 00 1.106 1.004 1.493 5
0072 pf 01 1.249 1.000 1.600 5
0072 pf 02 1.260 0.862 1.526 5
0072 pf 03 1.099 0.918 1.432 5
0072 pf 04 0.940 0.667 1.153 5
0072 pf 05 1.382 0.853 1.624 5
0072 pf 06 1.081 0.894 1.403 5
0072 pf 07 0.857 0.953 1.282 6
0072 pf 08 1.216 0.907 1.516 5
0072 pf 09 1.319 1.081 1.705 5
0072 pf 10 0.900 1.255 1.544 6
0072 pf 11 1.189 1.036 1.577 5
0072 pf 12 1.099 1.004 1.488 5
0072 pf 13 1.234 1.143 1.682 5
0072 pf 14 0.995 0.960 1.383 5
0072 pf 15 1.194 0.839 1.459 5
0072 pf 16 1.361 1.040 1.713 5
0072 pf 17 0.979 0.667 1.185 5
0072 pf 18 1.174 0.968 1.522 5
0072 pf 19 1.245 1.168 1.707 5
0072 pf 20 0.937 0.953 1.336 6
0072 pf 21 0.847 0.939 1.265 6
0072 pf 22 1.159 1.063 1.573 5
0072 pf 23 1.178 1.015 1.555 5
0072 pf 24 1.235 1.151 1.688 5
0072 pf 25 1.210 0.966 1.549 5
0072 pf 26 1.144 0.756 1.371 5
0072 pf 27 1.248 0.982 1.588 5
0072 pf 28 0.844 0.820 1.177 5
0072 pf 29 1.224 1.068 1.624 5
0072 pf 30 1.031 0.794 1.301 5
0072 pf 31 1.184 0.852 1.459 5
0072 pf 32 1.268 0.618 1.410 5
0072 pf 33 1.103 0.851 1.393 5
0072 pf 34 1.028 0.711 1.250 5
0072 pf 35 1.186 0.815 1.438 5
0072 pf 36 1.280 1.306 1.829 6
0072 pf 37 1.306 0.936 1.607 5
0072 pf 38 1.169 1.011 1.546 5
0072 pf 39 1.249 1.022 1.614 5
0072 pf 40 1.064 0.839 1.355 5
0072 pf 41 1.342 1.157 1.772 5
0072 pf 42 1.050 0.979 1.436 5
0072 pf 43 1.127 0.782 1.372 5
0072 pf 44 1.262 1.092 1.670 5
0072 pf 45 1.005 0.896 1.346 5
0072 pf 46 1.047 0.996 1.445 5
0072 pf 47 1.187 1.136 1.643 5
0072 pf 48 0.966 0.934 1.343 5
0072 pf 49 1.309 0.823 1.546 5
0072 pf 50 0.938 1.059 1.415 6
0096 em 00 0.851 1.311 1.563 6
0096 cf 00 0.757 1.324 1.525 6
0096 pf 01 0.910 1.370 1.644 6
0096 pf 02 1.150 1.120 1.606 5
0096 pf 03 1.001 1.395 1.717 6
0096 pf 04 0.713 0.925 1.168 6
0096 pf 05 0.950 1.372 1.668 6
0096 pf 06 0.674 1.221 1.395 6
0096 pf 07 0.622 1.417 1.548 6
0096 pf 08 0.655 1.167 1.338 6
0096 pf 09 1.113 1.111 1.572 5
0096 pf 10 0.572 1.682 1.777 6
0096 pf 11 0.855 1.502 1.729 6
0096 pf 12 0.644 1.514 1.645 6
0096 pf 13 0.883 1.400 1.655 6
0096 pf 14 0.614 1.411 1.539 6
0096 pf 15 0.729 1.142 1.355 6
0096 pf 16 1.033 1.335 1.688 6
0096 pf 17 0.830 1.095 1.373 6
0096 pf 18 0.924 1.205 1.519 6
0096 pf 19 0.984 1.487 1.783 6
0096 pf 20 0.505 1.298 1.393 6
0096 pf 21 0.636 1.179 1.339 6
0096 pf 22 1.063 1.466 1.810 6
0096 pf 23 0.832 1.321 1.561 6
0096 pf 24 0.934 1.411 1.692 6
0096 pf 25 1.047 1.524 1.849 6
0096 pf 26 0.865 1.157 1.444 6
0096 pf 27 0.879 1.190 1.479 6
0096 pf 28 0.559 1.169 1.296 6
0096 pf 29 0.796 1.452 1.656 6
0096 pf 30 0.753 1.098 1.331 6
0096 pf 31 0.870 1.298 1.562 6
0096 pf 32 1.260 1.036 1.631 5
0096 pf 33 0.965 0.954 1.357 5
0096 pf 34 0.649 1.302 1.455 6
0096 pf 35 0.661 1.330 1.486 6
0096 pf 36 0.858 1.559 1.780 6
0096 pf 37 1.194 1.148 1.656 5
0096 pf 38 0.814 1.420 1.637 6
0096 pf 39 0.967 1.459 1.750 6
0096 pf 40 0.820 1.343 1.574 6
0096 pf 41 0.918 1.486 1.747 6
0096 pf 42 0.903 1.445 1.704 6
0096 pf 43 0.773 1.087 1.333 6
0096 pf 44 1.088 1.525 1.873 6
0096 pf 45 0.653 1.293 1.448 6
0096 pf 46 0.918 1.347 1.630 6
0096 pf 47 0.860 1.512 1.739 6
0096 pf 48 0.696 1.122 1.321 6
0096 pf 49 1.125 1.007 1.510 5
0096 pf 50 0.459 1.361 1.437 6
0120 em 00 0.401 1.697 1.744 6
0120 cf 00 0.237 1.686 1.703 6
0120 pf 01 0.437 1.804 1.856 6
0120 pf 02 0.849 1.652 1.857 6
0120 pf 03 0.429 1.659 1.714 6
0120 pf 04 0.314 1.202 1.242 6
0120 pf 05 0.491 1.871 1.935 6
0120 pf 06 0.149 1.604 1.611 6
0120 pf 07 0.266 1.606 1.628 6
0120 pf 08 0.136 1.679 1.684 6
0120 pf 09 0.585 1.769 1.864 6
0120 pf 10 0.202 2.172 2.181 6
0120 pf 11 0.493 1.786 1.853 6
0120 pf 12 0.299 1.866 1.889 6
0120 pf 13 0.362 1.755 1.792 6
0120 pf 14 0.333 1.604 1.638 6
0120 pf 15 0.071 1.453 1.454 6
0120 pf 16 0.448 1.559 1.622 6
0120 pf 17 0.640 1.281 1.432 6
0120 pf 18 0.446 1.670 1.729 6
0120 pf 19 0.417 2.099 2.141 6
0120 pf 20 -0.014 1.305 1.305 7
0120 pf 21 0.086 1.607 1.609 6
0120 pf 22 0.706 1.801 1.935 6
0120 pf 23 0.522 1.710 1.788 6
0120 pf 24 0.474 1.885 1.944 6
0120 pf 25 0.520 1.835 1.907 6
0120 pf 26 0.668 1.546 1.684 6
0120 pf 27 0.514 1.637 1.716 6
0120 pf 28 0.052 1.512 1.513 6
0120 pf 29 0.229 1.918 1.932 6
0120 pf 30 0.483 1.489 1.565 6
0120 pf 31 0.348 1.838 1.870 6
0120 pf 32 0.860 1.589 1.807 6
0120 pf 33 0.562 1.573 1.671 6
0120 pf 34 0.240 1.637 1.654 6
0120 pf 35 0.137 1.667 1.672 6
0120 pf 36 0.332 1.904 1.933 6
0120 pf 37 0.863 1.648 1.861 6
0120 pf 38 0.155 1.613 1.621 6
0120 pf 39 0.635 1.914 2.016 6
0120 pf 40 0.318 1.759 1.787 6
0120 pf 41 0.440 1.988 2.036 6
0120 pf 42 0.432 1.747 1.800 6
0120 pf 43 0.298 1.532 1.560 6
0120 pf 44 0.475 2.011 2.067 6
0120 pf 45 0.292 1.453 1.482 6
0120 pf 46 0.489 1.853 1.917 6
0120 pf 47 0.228 1.826 1.840 6
0120 pf 48 0.194 1.427 1.440 6
0120 pf 49 0.750 1.543 1.715 6
0120 pf 50 0.042 1.497 1.498 6
0144 em 00 0.246 1.887 1.903 6
0144 cf 00 0.128 1.738 1.743 6
0144 pf 01 0.050 2.268 2.268 6
0144 pf 02 0.870 2.120 2.291 6
0144 pf 03 0.338 1.990 2.019 6
0144 pf 04 0.181 1.496 1.507 6
0144 pf 05 0.277 2.039 2.058 6
0144 pf 06 0.219 2.096 2.108 6
0144 pf 07 0.116 1.625 1.629 6
0144 pf 08 -0.014 2.000 2.000 7
0144 pf 09 0.267 1.953 1.971 6
0144 pf 10 0.012 2.376 2.376 6
0144 pf 11 0.237 1.955 1.970 6
0144 pf 12 0.197 1.879 1.889 6
0144 pf 13 0.374 1.804 1.842 6
0144 pf 14 0.574 1.853 1.940 6
0144 pf 15 -0.015 1.731 1.731 7
0144 pf 16 0.369 1.973 2.007 6
0144 pf 17 0.734 1.298 1.491 6
0144 pf 18 0.041 1.742 1.743 6
0144 pf 19 0.220 1.987 1.999 6
0144 pf 20 -0.183 1.528 1.539 7
0144 pf 21 0.187 1.397 1.409 6
0144 pf 22 0.486 2.065 2.121 6
0144 pf 23 0.512 2.147 2.207 6
0144 pf 24 0.202 1.996 2.006 6
0144 pf 25 0.145 2.154 2.159 6
0144 pf 26 0.874 1.710 1.920 6
0144 pf 27 0.266 1.896 1.914 6
0144 pf 28 -0.248 1.732 1.750 7
0144 pf 29 0.168 2.031 2.038 6
0144 pf 30 0.399 1.547 1.597 6
0144 pf 31 0.170 2.004 2.011 6
0144 pf 32 0.550 1.690 1.777 6
0144 pf 33 0.336 1.740 1.772 6
0144 pf 34 0.155 1.702 1.709 6
0144 pf 35 0.068 1.743 1.744 6
0144 pf 36 0.178 1.963 1.971 6
0144 pf 37 0.704 1.737 1.874 6
0144 pf 38 -0.092 1.826 1.828 7
0144 pf 39 0.271 2.254 2.270 6
0144 pf 40 0.207 1.701 1.714 6
0144 pf 41 0.261 2.409 2.423 6
0144 pf 42 0.215 2.103 2.114 6
0144 pf 43 -0.150 1.575 1.582 7
0144 pf 44 0.167 2.137 2.144 6
0144 pf 45 0.125 1.646 1.651 6
0144 pf 46 0.242 2.128 2.142 6
0144 pf 47 -0.021 1.858 1.858 7
0144 pf 48 -0.093 1.736 1.738 7
0144 pf 49 0.522 1.997 2.064 6
0144 pf 50 -0.046 1.655 1.656 7
0168 em 00 0.148 2.158 2.163 6
0168 cf 00 0.179 2.022 2.030 6
0168 pf 01 -0.363 2.482 2.509 7
0168 pf 02 0.656 2.296 2.388 6
0168 pf 03 0.076 2.111 2.113 6
0168 pf 04 0.184 1.420 1.432 6
0168 pf 05 0.058 2.143 2.143 6
0168 pf 06 0.058 2.259 2.260 6
0168 pf 07 0.112 1.657 1.661 6
0168 pf 08 0.123 2.110 2.114 6
0168 pf 09 0.137 2.084 2.088 6
0168 pf 10 0.089 2.536 2.537 6
0168 pf 11 0.214 2.090 2.101 6
0168 pf 12 0.167 1.962 1.969 6
0168 pf 13 0.423 2.128 2.170 6
0168 pf 14 0.377 2.326 2.357 6
0168 pf 15 -0.435 1.887 1.937 7
0168 pf 16 0.466 2.404 2.448 6
0168 pf 17 0.724 1.805 1.945 6
0168 pf 18 0.081 2.227 2.228 6
0168 pf 19 0.192 2.238 2.246 6
0168 pf 20 -0.157 1.645 1.653 7
0168 pf 21 0.156 1.745 1.752 6
0168 pf 22 0.244 2.504 2.516 6
0168 pf 23 0.112 2.528 2.531 6
0168 pf 24 -0.202 2.126 2.136 7
0168 pf 25 -0.116 2.695 2.697 7
0168 pf 26 1.013 2.045 2.282 6
0168 pf 27 -0.035 2.303 2.303 7
0168 pf 28 -0.259 2.069 2.086 7
0168 pf 29 0.060 2.481 2.482 6
0168 pf 30 0.721 2.000 2.126 6
0168 pf 31 -0.049 2.249 2.250 7
0168 pf 32 0.419 1.947 1.991 6
0168 pf 33 0.187 2.027 2.036 6
0168 pf 34 0.177 1.758 1.767 6
0168 pf 35 0.058 2.069 2.069 6
0168 pf 36 0.045 1.992 1.993 6
0168 pf 37 0.499 2.186 2.242 6
0168 pf 38 0.040 2.228 2.228 6
0168 pf 39 -0.109 2.796 2.799 7
0168 pf 40 0.005 1.919 1.919 6
0168 pf 41 0.319 2.918 2.936 6
0168 pf 42 0.013 2.259 2.259 6
0168 pf 43 -0.020 1.845 1.845 7
0168 pf 44 -0.146 2.319 2.324 7
0168 pf 45 0.071 2.110 2.112 6
0168 pf 46 -0.310 2.321 2.342 7
0168 pf 47 0.216 2.205 2.216 6
0168 pf 48 -0.297 1.911 1.934 7
0168 pf 49 0.451 2.356 2.399 6
0168 pf 50 0.202 1.608 1.621 6
